regime,granularity,variant,method,seed,primary,date,n,mean_impact_bps,delta,prefactor,power_r2,log_r2,delta_at_boundary,n_fit_bins
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-22,1661,0.773888139130623,-0.0030000000000000027,0.0037069100364028507,0.00030304282569437735,0.00034421105216120296,False,13
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-23,1619,0.7188336944736855,0.123,0.010809274272349572,0.14194215102689967,0.11673499604848003,False,13
normal,fill,threshold_wait5s,time_threshold,7,True,2026-07-24,1568,0.5791649377828987,0.185,0.017137733004248996,0.3924419171690029,0.3160314577210869,False,12
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-18,1003,0.37082286580373125,0.10699999999999998,0.009542601509711271,0.20928733966023605,0.20394621067900476,False,10
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-19,898,0.5609574034452445,0.14600000000000002,0.02933948054691206,0.40555286235520627,0.39250847134260636,False,10
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-20,1743,0.9114220809232103,0.09699999999999998,0.007810995955959121,0.14071862942703928,0.1739583883108643,False,14
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-21,1731,0.693704288673728,0.07700000000000001,0.005885613702546347,0.13756389614999986,0.12735865643102695,False,13
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-22,1687,0.7190495038057928,0.044999999999999984,0.0059044104270698965,0.04809054777048072,0.058456353789926974,False,11
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-23,1540,0.7156208718745052,0.135,0.013790985796834057,0.2872782839013006,0.24453387670433735,False,13
normal,fill,threshold_wait5s,time_threshold,23,True,2026-07-24,1605,0.6356934854941562,0.264,0.04268812474272138,0.5224664719172402,0.39228179675117514,False,12
normal,fill,threshold_wait5s,time_threshold,71,True,2026-07-18,990,0.3593681925863084,0.20800000000000002,0.02925862495369105,0.4220299079979476,0.3201949690626613,False,10
