clock,horizon,mean_impact_bps,fraction_of_completion,fraction_of_size_endpoint,reference_quote_completion_bps,reference_size_endpoint_bps,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,2.583333333333333,1.9193746220469072,0.9819043343383004,0.8736636972943559,1.9547470715060675,2.196926149033098,0.053759520809104594,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.6666666666666665,1.9138097272533123,0.9790574725244559,0.8711306604892525,1.9547470715060675,2.196926149033098,0.054711979046266346,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.75,1.9013030698840547,0.972659377573163,0.865437862224385,1.9547470715060675,2.196926149033098,0.055714898973821946,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.833333333333333,1.894189153774844,0.9690200749682845,0.8621997396719534,1.9547470715060675,2.196926149033098,0.056513148184960754,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,2.9166666666666665,1.873329948496768,0.9583490241801103,0.8527050166530407,1.9547470715060675,2.196926149033098,0.05721862215224363,37483,37719,normal,aggressive,random_n20,random_traders,7,False
z,3.0,1.8482842661960812,0.9455362758374871,0.8413046870098663,1.9547470715060675,2.196926149033098,0.05809245896458654,37483,37719,normal,aggressive,random_n20,random_traders,7,False
seconds,0.1,2.2880741155832505,1.1741213542649116,1.0460739287545093,1.9487543662092384,2.187296760476105,0.034080551079198086,37480,37767,normal,aggressive,random_n20,random_traders,23,False
seconds,1.0,2.4151362885210936,1.2393230929453012,1.104164890728131,1.9487543662092384,2.187296760476105,0.03486209894472984,37480,37767,normal,aggressive,random_n20,random_traders,23,False
seconds,5.0,2.461745134515907,1.2632403432683772,1.1254737715517227,1.9487543662092384,2.187296760476105,0.035579578525222456,37480,37767,normal,aggressive,random_n20,random_traders,23,False
seconds,15.0,2.3862873815365244,1.2245193252233144,1.090975593552795,1.9487543662092384,2.187296760476105,0.03673186708925237,37480,37767,normal,aggressive,random_n20,random_traders,23,False
seconds,30.0,2.25211814499824,1.1556706089023994,1.0296353863332313,1.9487543662092384,2.187296760476105,0.038490500013423724,37480,37767,normal,aggressive,random_n20,random_traders,23,False
seconds,60.0,2.0576566618918477,1.0558830284467553,0.9407304482286899,1.9487543662092384,2.187296760476105,0.04169266821481866,37480,37767,normal,aggressive,random_n20,random_traders,23,False
seconds,180.0,1.712347249449516,0.8786880887304505,0.7828600491671703,1.9487543662092384,2.187296760476105,0.05363647704899063,37480,37767,normal,aggressive,random_n20,random_traders,23,False
seconds,600.0,1.6400088231332375,0.8415677478754905,0.7497879815705756,1.9487543662092384,2.187296760476105,0.08004433098364389,37480,37767,normal,aggressive,random_n20,random_traders,23,False
z,1.0,1.9427471802329919,1.0,0.8907521387522456,1.9427471802329919,2.1810188218625752,0.0334718087095184,37513,37767,normal,aggressive,random_n20,random_traders,23,False
z,1.0833333333333333,2.356084334420134,1.2127591064821779,1.0802677678902624,1.9427471802329919,2.1810188218625752,0.03585424534370799,37513,37767,normal,aggressive,random_n20,random_traders,23,False
