phi,normalised_impact,sem_iid,n,regime,variant,method,seed
0.95,0.0177444,0.00295908,661,stress,maitrier_threshold,time_threshold,23
1,0.0255266,0.003272,661,stress,maitrier_threshold,time_threshold,23
0.05,4.44811e-05,2.07914e-05,634,stress,maitrier_threshold,time_threshold,71
0.1,5.42269e-05,2.15459e-05,634,stress,maitrier_threshold,time_threshold,71
0.15,4.81812e-05,2.48448e-05,634,stress,maitrier_threshold,time_threshold,71
0.2,4.85062e-05,2.54309e-05,634,stress,maitrier_threshold,time_threshold,71
0.25,5.22235e-05,2.61059e-05,634,stress,maitrier_threshold,time_threshold,71
0.3,5.17012e-05,2.69162e-05,634,stress,maitrier_threshold,time_threshold,71
0.35,5.35421e-05,2.72707e-05,634,stress,maitrier_threshold,time_threshold,71
0.4,6.18166e-05,2.79556e-05,634,stress,maitrier_threshold,time_threshold,71
0.45,6.94851e-05,2.86391e-05,634,stress,maitrier_threshold,time_threshold,71
0.5,7.59027e-05,2.91197e-05,634,stress,maitrier_threshold,time_threshold,71
0.55,8.06282e-05,2.97179e-05,634,stress,maitrier_threshold,time_threshold,71
0.6,8.69156e-05,3.03562e-05,634,stress,maitrier_threshold,time_threshold,71
0.65,9.17755e-05,3.09664e-05,634,stress,maitrier_threshold,time_threshold,71
0.7,0.000101507,3.18407e-05,634,stress,maitrier_threshold,time_threshold,71
0.75,0.000109816,3.27891e-05,634,stress,maitrier_threshold,time_threshold,71
0.8,0.000114633,3.36368e-05,634,stress,maitrier_threshold,time_threshold,71
0.85,0.000115743,3.39775e-05,634,stress,maitrier_threshold,time_threshold,71
0.9,0.000128761,3.5102e-05,634,stress,maitrier_threshold,time_threshold,71
0.95,0.000144842,3.62383e-05,634,stress,maitrier_threshold,time_threshold,71
1,0.000244236,4.29718e-05,634,stress,maitrier_threshold,time_threshold,71
