bin_start,bin_end,orders,ratio_to_uniform,sem_across_days,n_days
0.423,0.424,210,1.10225,0.125986,8
0.424,0.425,224,1.12884,0.0856409,8
0.425,0.426,201,1.02706,0.10601,8
0.426,0.427,127,0.628068,0.0454036,8
0.427,0.428,138,0.672774,0.104875,8
0.428,0.429,241,1.26289,0.106084,8
0.429,0.43,191,0.969911,0.128363,8
0.43,0.431,203,1.04944,0.0917216,8
0.431,0.432,211,1.09589,0.0641155,8
0.432,0.433,193,0.98594,0.0590154,8
0.433,0.434,186,0.948701,0.100359,8
0.434,0.435,179,0.904026,0.053657,8
0.435,0.436,181,0.901562,0.0670826,8
0.436,0.437,187,0.946241,0.0676724,8
0.437,0.438,186,0.939054,0.0571974,8
0.438,0.439,193,0.981648,0.0745727,8
0.439,0.44,185,0.932446,0.0692031,8
0.44,0.441,212,1.08683,0.0754895,8
0.441,0.442,173,0.85562,0.108552,8
0.442,0.443,163,0.832885,0.0447397,8
0.443,0.444,176,0.919432,0.0815624,8
0.444,0.445,203,1.02968,0.047369,8
0.445,0.446,163,0.868155,0.147006,8
0.446,0.447,180,0.916383,0.0543064,8
0.447,0.448,176,0.890899,0.0736874,8
0.448,0.449,157,0.777475,0.0976213,8
0.449,0.45,176,0.821959,0.227441,8
0.45,0.451,271,1.37326,0.11747,8
0.451,0.452,201,1.01728,0.168447,8
0.452,0.453,176,0.891608,0.0514977,8
0.453,0.454,213,1.10087,0.101855,8
0.454,0.455,191,1.0245,0.117762,8
0.455,0.456,175,0.874973,0.0736577,8
0.456,0.457,205,1.05098,0.0982751,8
0.457,0.458,184,0.921555,0.0704259,8
0.458,0.459,183,0.920637,0.0422589,8
0.459,0.46,178,0.920527,0.0765645,8
0.46,0.461,156,0.811852,0.0819014,8
0.461,0.462,172,0.888834,0.0710907,8
0.462,0.463,167,0.844989,0.0697491,8
0.463,0.464,158,0.795159,0.0500307,8
0.464,0.465,175,0.866868,0.0946214,8
0.465,0.466,171,0.873751,0.0945764,8
0.466,0.467,156,0.816503,0.0731026,8
0.467,0.468,176,0.90475,0.0671356,8
0.468,0.469,152,0.766047,0.0836482,8
0.469,0.47,176,0.903974,0.083529,8
0.47,0.471,117,0.571143,0.0963203,8
0.471,0.472,121,0.590343,0.0622564,8
0.472,0.473,199,1.0407,0.104471,8
0.473,0.474,188,0.933992,0.0536561,8
0.474,0.475,196,0.981467,0.0624342,8
0.475,0.476,166,0.851198,0.0649225,8
0.476,0.477,167,0.821781,0.0670858,8
0.477,0.478,178,0.91063,0.0816519,8
0.478,0.479,156,0.781073,0.0620192,8
0.479,0.48,156,0.808281,0.0658001,8
0.48,0.481,166,0.860472,0.0998166,8
0.481,0.482,191,0.961141,0.0952605,8
0.482,0.483,198,0.971156,0.135252,8
0.483,0.484,193,0.955647,0.0924895,8
0.484,0.485,188,0.930572,0.0945736,8
0.485,0.486,185,0.921786,0.0509168,8
0.486,0.487,162,0.817743,0.0894553,8
0.487,0.488,177,0.904503,0.0791356,8
0.488,0.489,138,0.708102,0.0542902,8
0.489,0.49,166,0.867239,0.045714,8
0.49,0.491,178,0.912882,0.0380632,8
0.491,0.492,146,0.750265,0.0876586,8
0.492,0.493,130,0.633069,0.0659977,8
0.493,0.494,166,0.801005,0.12357,8
0.494,0.495,218,1.12547,0.131743,8
0.495,0.496,175,0.850464,0.0841398,8
0.496,0.497,174,0.89878,0.110955,8
0.497,0.498,152,0.750506,0.0555311,8
0.498,0.499,163,0.828101,0.0691842,8
0.499,0.5,167,0.833445,0.0524067,8
0.5,0.501,170,0.864204,0.0302237,8
0.501,0.502,157,0.808074,0.0686915,8
0.502,0.503,150,0.733105,0.0890002,8
0.503,0.504,154,0.756733,0.055925,8
0.504,0.505,176,0.888589,0.0483563,8
0.505,0.506,157,0.774858,0.0897647,8
0.506,0.507,156,0.791868,0.0777727,8
0.507,0.508,159,0.800094,0.0656551,8
0.508,0.509,151,0.750625,0.0648253,8
0.509,0.51,186,0.92943,0.0526653,8
0.51,0.511,193,1.01995,0.213138,8
0.511,0.512,203,1.03829,0.146107,8
0.512,0.513,180,0.920592,0.121219,8
0.513,0.514,163,0.859527,0.0806598,8
0.514,0.515,128,0.642633,0.0926813,8
0.515,0.516,170,0.824781,0.125664,8
0.516,0.517,334,1.6511,0.128143,8
0.517,0.518,214,1.06392,0.0901485,8
0.518,0.519,195,1.0097,0.0450835,8
0.519,0.52,187,0.951258,0.0997205,8
0.52,0.521,208,1.06873,0.108721,8
0.521,0.522,223,1.13897,0.0893415,8
0.522,0.523,192,0.961089,0.103248,8
0.523,0.524,188,0.97492,0.0740972,8
0.524,0.525,208,1.03949,0.0592264,8
0.525,0.526,185,0.935125,0.100691,8
0.526,0.527,184,0.924412,0.0749147,8
0.527,0.528,161,0.840112,0.0624591,8
0.528,0.529,169,0.836996,0.0668989,8
0.529,0.53,149,0.733028,0.0736207,8
0.53,0.531,176,0.879225,0.0622259,8
