clock,horizon,mean_impact_bps,fraction_of_completion,sem_iid,n,n_before_complete_filter,regime,granularity,variant,method,seed,primary
z,1.9166666666666665,0.7944424578275869,1.1999047882329748,0.030379083532652975,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.0,0.7891627623678634,1.1919304764371805,0.030774574853740563,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.083333333333333,0.7931557051311372,1.1979613111358873,0.031284508565070784,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.1666666666666665,0.7920831586122961,1.1963413653602306,0.031747706378984705,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.25,0.7843988201311973,1.184735144611296,0.03232259840590899,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.333333333333333,0.7900544184566556,1.1932772101116678,0.032749970887167974,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.4166666666666665,0.7975459686993716,1.2045922486257268,0.03315511913267903,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.5,0.7977041083850858,1.2048310986069035,0.03388084215965952,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.583333333333333,0.8005188138208559,1.2090823549396548,0.03435060663411919,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.6666666666666665,0.8052318409888642,1.2162007859981225,0.034787579603935255,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.75,0.8073024255515937,1.219328141927782,0.035388658661202825,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.833333333333333,0.8054576459853204,1.2165418358674807,0.03584860448611703,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,2.9166666666666665,0.8161687118871556,1.2327195453240416,0.0363681258076321,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
z,3.0,0.8172379005712461,1.2343344195152737,0.03679107008296444,8387,8393,normal,aggressive,threshold_wait5s,time_threshold,71,True
seconds,0.1,0.658232806782003,1.0621185908079782,0.04266795244283977,5384,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
seconds,1.0,0.6916850225568457,1.1160967880538464,0.04367157733695734,5384,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
seconds,5.0,0.7214783273670027,1.1641709991755604,0.04638781566991607,5384,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
seconds,15.0,0.6895280755457638,1.1126163575796226,0.052357656946256,5384,5421,normal,aggressive,threshold_wait20s,time_threshold,7,False
